date,stocks
20150701,1295000
20150630,1268000
20150629,1281000
20150626,1278000
20150625,1269000
20150624,1302000
20150623,1321000
20150622,1281000
20150619,1266000
20150618,1265000
20150617,1254000
20150616,1255000
20150615,1270000
20150612,1277000
20150611,1257000
20150610,1262000
20150609,1282000
20150608,1314000
20150605,1341000
20150604,1337000
20150603,1273000
20150602,1303000
20150601,1291000
20150529,1307000
20150528,1309000
20150527,1314000
20150526,1362000
20150522,1350000
20150521,1352000
20150520,1366000
20150519,1338000
20150518,1320000
20150515,1326000
20150514,1340000
20150513,1333000
20150512,1331000
20150511,1336000
20150508,1338000
20150507,1370000
20150506,1362000
20150504,1400000
20150430,1410000
20150429,1385000
20150428,1366000
20150427,1395000
20150424,1410000
20150423,1451000
20150422,1461000
20150421,1444000
20150420,1430000
20150417,1450000
20150416,1477000
20150415,1446000
20150414,1474000
20150413,1479000
20150410,1490000
20150409,1483000
20150408,1479000
20150407,1462000
20150406,1470000
20150403,1434000
20150402,1434000
20150401,1423000
20150331,1441000
20150330,1428000
20150327,1421000
20150326,1421000
20150325,1485000
20150324,1476000
20150323,1467000
20150320,1464000
20150319,1470000
20150318,1503000
20150317,1497000
20150316,1470000
20150313,1457000
20150312,1447000
20150311,1474000
20150310,1421000
20150309,1420000
20150306,1442000
20150305,1422000
20150304,1437000
20150303,1418000
20150302,1423000
20150227,1357000
20150226,1375000
20150225,1379000
20150224,1367000
20150223,1367000
20150217,1377000
20150216,1374000
20150213,1361000
20150212,1344000
20150211,1355000
20150210,1378000
20150209,1395000
20150206,1372000
20150205,1358000
20150204,1359000
20150203,1366000
20150202,1368000
20150130,1365000
20150129,1360000
20150128,1378000
20150127,1400000
20150126,1389000
20150123,1386000
20150122,1378000
20150121,1395000
20150120,1372000
20150119,1343000
20150116,1316000
20150115,1334000
20150114,1345000
20150113,1339000
20150112,1316000
20150109,1314000
20150108,1314000
20150107,1307000
20150106,1295000
20150105,1333000
20150102,1330000
20141230,1327000
20141229,1329000
20141226,1352000
20141224,1343000
20141223,1339000
20141222,1345000
20141219,1328000
20141218,1266000
20141217,1266000
20141216,1279000
20141215,1273000
20141212,1286000
20141211,1305000
20141210,1317000
20141209,1349000
20141208,1319000
20141205,1302000
20141204,1300000
20141203,1298000
20141202,1295000
20141201,1295000
20141128,1287000
20141127,1264000
20141126,1201000
20141125,1190000
20141124,1220000
20141121,1223000
20141120,1210000
20141119,1218000
20141118,1220000
20141117,1205000
20141114,1194000
20141113,1200000
20141112,1230000
20141111,1231000
20141110,1268000
20141107,1206000
20141106,1204000
20141105,1202000
20141104,1217000
20141103,1235000
20141031,1244000
20141030,1181000
20141029,1130000
20141028,1091000
20141027,1095000
20141024,1112000
20141023,1094000
20141022,1104000
20141021,1083000
20141020,1106000
20141017,1089000
20141016,1115000
20141015,1125000
20141014,1127000
20141013,1108000
20141010,1105000
20141008,1130000
20141007,1162000
20141006,1151000
20141002,1141000
20141001,1156000
20140930,1184000
20140929,1195000
20140926,1185000
20140925,1156000
20140924,1150000
20140923,1161000
20140922,1188000
20140919,1210000
20140918,1210000
20140917,1226000
20140916,1206000
20140915,1200000
20140912,1201000
20140911,1192000
20140905,1201000
20140904,1210000
20140903,1189000
20140902,1194000
20140901,1226000
20140829,1234000
20140828,1242000
20140827,1230000
20140826,1222000
20140825,1228000
20140822,1247000
20140821,1235000
20140820,1261000
20140819,1254000
20140818,1250000
20140814,1261000
20140813,1264000
20140812,1266000
20140811,1270000
20140808,1250000
20140807,1290000
20140806,1300000
20140805,1316000
20140804,1317000
20140801,1292000
20140731,1343000
20140730,1395000
20140729,1386000
20140728,1358000
20140725,1355000
20140724,1355000
20140723,1338000
20140722,1348000
20140721,1353000
20140718,1343000
20140717,1330000
20140716,1321000
20140715,1320000
20140714,1286000
20140711,1284000
20140710,1306000
20140709,1308000
20140708,1295000
20140707,1292000
20140704,1306000
20140703,1318000
20140702,1330000
20140701,1310000
20140630,1322000
20140627,1311000
20140626,1325000
20140625,1320000
20140624,1345000
20140623,1322000
20140620,1301000
20140619,1323000
20140618,1358000
20140617,1374000
20140616,1374000
20140613,1367000
20140612,1413000
20140611,1422000
20140610,1436000
20140609,1409000
20140605,1457000
20140603,1470000
20140602,1455000
20140530,1443000
20140529,1460000
20140528,1433000
20140527,1407000
20140526,1422000
20140523,1428000
20140522,1426000
20140521,1441000
20140520,1451000
20140519,1448000
20140516,1428000
20140515,1410000
20140514,1415000
20140513,1400000
20140512,1388000
20140509,1335000
20140508,1350000
20140507,1344000
20140502,1346000
20140430,1343000
20140429,1360000
20140428,1388000
20140425,1399000
20140424,1407000
20140423,1389000
20140422,1375000
20140421,1380000
20140418,1378000
20140417,1370000
20140416,1380000
20140415,1370000
20140414,1370000
20140411,1365000
20140410,1380000
20140409,1371000
20140408,1394000
20140407,1397000
20140404,1380000
20140403,1390000
20140402,1357000
20140401,1339000
20140331,1343000
20140328,1335000
20140327,1333000
20140326,1285000
20140325,1247000
20140324,1273000
20140321,1273000
20140320,1262000
20140319,1269000
20140318,1278000
20140317,1266000
20140314,1275000
20140313,1290000
20140312,1294000
20140311,1322000
20140310,1320000
20140307,1339000
20140306,1326000
20140305,1330000
20140304,1315000
20140303,1325000
20140228,1349000
20140227,1341000
20140226,1342000
20140225,1334000
20140224,1328000
20140221,1330000
20140220,1286000
20140219,1290000
20140218,1295000
20140217,1285000
20140214,1301000
20140213,1298000
20140212,1307000
20140211,1311000
20140210,1277000
20140207,1275000
20140206,1259000
20140205,1237000
20140204,1249000
20140203,1272000
20140129,1280000
20140128,1283000
20140127,1292000
20140124,1307000
20140123,1299000
20140122,1328000
20140121,1324000
20140120,1316000
20140117,1292000
20140116,1301000
20140115,1299000
20140114,1313000
20140113,1295000
20140110,1272000
20140109,1275000
20140108,1291000
20140107,1304000
20140106,1307000
20140103,1296000
20140102,1309000
20131230,1372000
20131227,1396000
20131226,1408000
20131224,1415000
20131223,1433000
20131220,1427000
20131219,1427000
20131218,1401000
20131217,1395000
20131216,1400000
20131213,1390000
20131212,1410000
20131211,1420000
20131210,1440000
20131209,1454000
20131206,1428000
20131205,1440000
20131204,1432000
20131203,1461000
20131202,1467000
20131129,1494000
20131128,1494000
20131127,1470000
20131126,1479000
20131125,1465000
20131122,1450000
20131121,1440000
20131120,1470000
20131119,1489000
20131118,1474000
20131115,1462000
20131114,1424000
20131113,1419000
20131112,1456000
20131111,1428000
20131108,1410000
20131107,1437000
20131106,1451000
20131105,1485000
20131104,1499000
20131101,1500000
20131031,1465000
20131030,1500000
20131029,1490000
20131028,1482000
20131025,1449000
20131024,1449000
20131023,1442000
20131022,1455000
20131021,1464000
20131018,1472000
20131017,1463000
20131016,1450000
20131015,1457000
20131014,1438000
20131011,1443000
20131010,1430000
20131008,1430000
20131007,1436000
20131004,1418000
20131002,1418000
20131001,1382000
20130930,1367000
20130927,1366000
20130926,1372000
20130925,1364000
20130924,1373000
20130923,1360000
20130917,1386000
20130916,1425000
20130913,1406000
20130912,1410000
